LLM 总参数量: 26194432
LoRA 参数量: 262144
LoRA 参数占比: 1.00%
Epoch:[21/50](200/790) loss:1.664 lr:0.000037346257 epoch_Time:1.0min:
Epoch:[21/50](300/790) loss:1.566 lr:0.000037155970 epoch_Time:1.0min:
Epoch:[21/50](400/790) loss:1.692 lr:0.000036965230 epoch_Time:1.0min:
Epoch:[21/50](500/790) loss:1.638 lr:0.000036774050 epoch_Time:1.0min:
Epoch:[21/50](600/790) loss:1.730 lr:0.000036582441 epoch_Time:1.0min:
Epoch:[21/50](700/790) loss:1.759 lr:0.000036390416 epoch_Time:1.0min:
Epoch:[22/50](0/790) loss:1.581 lr:0.000036217247 epoch_Time:1.0min:
Epoch:[22/50](100/790) loss:1.615 lr:0.000036024464 epoch_Time:1.0min:
Epoch:[22/50](200/790) loss:1.662 lr:0.000035831300 epoch_Time:1.0min:
Epoch:[22/50](300/790) loss:1.563 lr:0.000035637768 epoch_Time:1.0min:
Epoch:[22/50](400/790) loss:1.689 lr:0.000035443878 epoch_Time:1.0min:
Epoch:[22/50](500/790) loss:1.635 lr:0.000035249645 epoch_Time:1.0min:
Epoch:[22/50](600/790) loss:1.727 lr:0.000035055079 epoch_Time:1.0min:
Epoch:[22/50](700/790) loss:1.757 lr:0.000034860193 epoch_Time:1.0min:
Epoch:[23/50](0/790) loss:1.579 lr:0.000034684533 epoch_Time:2.0min:
Epoch:[23/50](100/790) loss:1.613 lr:0.000034489074 epoch_Time:1.0min:
Epoch:[23/50](200/790) loss:1.660 lr:0.000034293331 epoch_Time:1.0min:
Epoch:[23/50](300/790) loss:1.561 lr:0.000034097316 epoch_Time:1.0min:
Epoch:[23/50](400/790) loss:1.686 lr:0.000033901042 epoch_Time:1.0min:
Epoch:[23/50](500/790) loss:1.633 lr:0.000033704521 epoch_Time:1.0min:
Epoch:[23/50](600/790) loss:1.725 lr:0.000033507766 epoch_Time:1.0min:
Epoch:[23/50](700/790) loss:1.755 lr:0.000033310789 epoch_Time:1.0min:
Epoch:[24/50](0/790) loss:1.576 lr:0.000033133331 epoch_Time:1.0min:
Epoch:[24/50](100/790) loss:1.610 lr:0.000032935967 epoch_Time:1.0min:
Epoch:[24/50](200/790) loss:1.658 lr:0.000032738417 epoch_Time:1.0min:
Epoch:[24/50](300/790) loss:1.559 lr:0.000032540694 epoch_Time:1.0min:
Epoch:[24/50](400/790) loss:1.684 lr:0.000032342810 epoch_Time:1.0min:
Epoch:[24/50](500/790) loss:1.630 lr:0.000032144778 epoch_Time:1.0min:
Epoch:[24/50](600/790) loss:1.723 lr:0.000031946610 epoch_Time:1.0min:
Epoch:[24/50](700/790) loss:1.754 lr:0.000031748320 epoch_Time:1.0min:
Epoch:[25/50](0/790) loss:1.574 lr:0.000031569763 epoch_Time:1.0min:
Epoch:[25/50](100/790) loss:1.608 lr:0.000031371273 epoch_Time:1.0min:
Epoch:[25/50](200/790) loss:1.656 lr:0.000031172696 epoch_Time:1.0min:
Epoch:[25/50](300/790) loss:1.557 lr:0.000030974045 epoch_Time:1.0min:
Epoch:[25/50](400/790) loss:1.681 lr:0.000030775332 epoch_Time:1.0min:
Epoch:[25/50](500/790) loss:1.628 lr:0.000030576570 epoch_Time:1.0min:
Epoch:[25/50](600/790) loss:1.722 lr:0.000030377772 epoch_Time:1.0min:
Epoch:[25/50](700/790) loss:1.752 lr:0.000030178950 epoch_Time:1.0min:
Epoch:[26/50](0/790) loss:1.571 lr:0.000030000000 epoch_Time:1.0min:
Epoch:[26/50](100/790) loss:1.606 lr:0.000029801167 epoch_Time:1.0min:
